W_EDA,W_TEMP,W_BVP,W_ACCx,W_ACCy,W_ACCz,C_ECG,C_RESP,C_EMG,C_EDA,C_TEMP,C_ACCx,C_ACCy,C_ACCz
2.40752,34.13,70.3275,58.625,-21.75,-6.625,0.043092564174107145,-5.38165283203125,-0.002833426339285714,1.6191820417131697,34.681053,0.7605942862374442,0.010853713239942279,-0.5476480007171631
2.412636,34.13,66.519375,58.875,-15.875,-15.75,0.0021530587332589286,-4.985185895647321,-0.002373046875,1.6169193812779017,34.673695,0.7434914302825928,0.04997828381402152,-0.551995427949088
2.402403,34.11,-21.580625,56.0,-19.875,-14.25,0.040175432477678574,-4.273812430245536,-0.002335902622767857,1.616605486188616,34.669746,0.7499565676280431,0.04182400022234235,-0.5467645713261196
2.415195,34.11,-105.50999999999999,58.875,-20.0,-11.375,-0.03575055803571429,-3.6218697684151784,-0.0022964041573660713,1.6191820417131697,34.681255,0.7438754279272897,0.03432571547372001,-0.5606982854434422
2.402403,34.11,-42.82625,58.5,-20.0,-10.875,0.035953281947544644,-3.4508231026785716,-0.0023701695033482143,1.6175798688616072,34.673515,0.7557337154660906,0.03249829019818987,-0.5527382837023054
2.401124,34.11,-27.429375,58.5,-20.0,-11.0,-0.06614920479910714,-3.3930489676339284,-0.002727486746651786,1.616727556501116,34.669548,0.7401131391525269,0.04614971433367048,-0.5689211429868426
2.403682,34.11,203.70375,58.75,-20.0,-11.0,0.03642987932477679,-2.5804268973214284,-0.002469046456473214,1.6210741315569197,34.675426,0.7374891396931239,0.042382853371756415,-0.5665017138208662
2.398565,34.11,-8.45375,58.5,-20.125,-11.0,-0.025719778878348216,-1.6933768136160714,-0.002563999720982143,1.6204616001674108,34.671715,0.7385851458140782,0.04560342448098319,-0.5730228587559292
2.396007,34.11,-59.295,58.0,-21.0,-11.0,0.05499546595982143,-1.15008544921875,-0.0023905726841517857,1.6157030378069197,34.67313,0.7340708569117955,0.04156913893563407,-0.584425140448979
2.387053,34.11,-31.37625,58.125,-21.25,-11.125,-0.07586504255022321,-0.32658168247767855,-0.00265869140625,1.6179438999720983,34.6739,0.7472719975880214,0.03708114351545062,-0.5622000013078962
2.389611,34.09,0.057499999999999996,58.125,-21.125,-11.125,0.0073956298828125,2.5362636021205356,-0.0027601841517857144,1.6134469168526786,34.670338,0.7517554276330131,0.037448000907897946,-0.550739426612854
2.381936,34.09,-1.2762499999999999,58.125,-21.0,-10.75,0.028179146902901787,8.429042271205358,-0.0021135602678571427,1.6161063058035714,34.67338,0.7651279960359846,0.04332914352416992,-0.5209759994915554
2.379378,34.09,15.342500000000001,58.75,-21.25,-12.625,-0.025392020089285715,14.154453822544642,-0.0035708182198660714,1.6147373744419642,34.67176,0.7687245743615286,0.03850857325962612,-0.5226937130519322
2.364028,34.09,2.65,57.75,-21.375,-11.125,0.04416373116629464,15.831821986607142,-0.0017826625279017856,1.6150774274553572,34.675808,0.7736640003749302,0.037713138716561456,-0.5205497138840811
2.362748,34.09,-1.6993749999999999,58.0,-21.375,-11.125,-0.023697509765625,13.919337681361608,-0.0022119140625,1.6122480119977678,34.67465,0.7648491484778268,0.04287200382777623,-0.5210708563668387
2.364028,34.09,-25.4925,58.0,-21.25,-11.0,0.04520926339285714,10.626665387834821,-0.0030829729352678573,1.6138567243303572,34.67644,0.7744411427634103,0.03938628673553467,-0.5197657145772662
2.366586,34.09,-14.316875,58.0,-20.625,-12.5,-0.04198294503348214,7.707127162388393,-0.0027601841517857144,1.6117967878069197,34.678516,0.7692445734569004,0.04326742785317557,-0.5244457163129534
2.370423,34.09,63.541875,54.625,-12.375,-31.25,0.01674525669642857,5.483564104352679,-0.002653721400669643,1.6134817940848214,34.678097,0.7711497150148664,0.04225600242614746,-0.5206925739560808
2.388332,34.09,-0.586875,50.375,-13.5,-27.625,0.019969482421875,3.46539306640625,-0.00248291015625,1.611814226422991,34.67946,0.7643897186006818,0.043212571144104005,-0.5286857155391148
2.383215,34.09,-16.856875000000002,58.5,-21.375,-11.75,0.00024850027901785713,1.6246425083705358,-0.0023228236607142857,1.6127123151506697,34.679245,0.7714297144753592,0.036515424592154365,-0.5240639979498727
2.378098,34.09,-47.155625,58.0,-20.875,-11.125,0.009313790457589287,-0.36111014229910715,-0.0020235770089285714,1.6102796282087053,34.68471,0.7672228574752807,0.034145142010280065,-0.5286731416838509
2.389611,34.09,83.12187499999999,58.375,-20.0,-12.875,-0.03531816755022321,-2.0393502371651784,-0.002815638950892857,1.6075570242745536,34.685604,0.7697714301518032,0.02509028162275042,-0.5271222833224706
2.39089,34.09,168.143125,56.625,-14.75,-23.75,0.07091256277901786,-2.47918701171875,-0.002458060128348214,1.6107875279017858,34.686607,0.7649497154780797,0.03723542962755476,-0.5254491451808384
2.396007,34.09,-38.289375,57.75,-19.5,-14.125,-0.04865033830915179,-2.480686732700893,-0.002700282505580357,1.6097542898995536,34.692192,0.760763430595398,0.037251432963779994,-0.5403874271256583
2.398565,34.09,-170.93312500000002,58.125,-20.25,-12.375,0.02835205078125,-2.8182547433035716,-0.0019247000558035715,1.6079668317522322,34.689842,0.7662982879366194,0.03347428389957973,-0.5371074260984148
2.39089,34.09,-94.84312499999999,58.125,-20.125,-12.25,-0.019302978515625,-3.2832815987723216,-0.001980678013392857,1.6119559151785714,34.688194,0.7511702850886753,0.030772573607308524,-0.5520937129429409
